# stla	stlo	net.stat.loc.chan	stel	stdp
           75.651802            75.651802    XW.ST4..HHZ          2696.0        0.0
           75.698402            75.698402    XW.ST7..HHZ          2670.0        0.0
           75.575699            75.575699    XW.ST8..HHZ          2667.0        0.0
            64.99691             64.99691    Z7.STAM..HHZ          1171.0        0.0
              50.737               50.737    UK.STED..BHZ            40.0        0.0
           64.810913            64.810913    Z7.STJA..HHZ           751.0        0.0
           53.091301            53.091301    GB.STNC..BHZ           234.0        0.0
           65.133133            65.133133    Z7.STOR..HHZ           721.0        0.0
           72.576302            72.576302    GE.SUMG..BHZ          3240.0        2.0
           65.117462            65.117462    4F.SVAD..BHZ           680.0        0.0
           64.386597            64.386597    Z7.SVIN..HHZ            40.0        0.0
           51.513168            51.513168    GB.SWN1..BHZ           192.0        0.0
            64.42524             64.42524    Z7.SYLG..HHZ           899.0        0.0
           64.674889            64.674889    Z7.TEIG..HHZ            29.0        0.0
           50.476971            50.476971    UK.TGGS..BHZ            20.0        0.0
            64.91658             64.91658    4F.TOHR..BHZ           715.0        0.0
           65.103363            65.103363    4F.TOLI..HHZ           537.0        0.0
           65.526413            65.526413    YY.TREB..HHZ           450.0        0.0
           76.537399            76.537399    DK.TULEG..BHZ            38.0        0.0
           64.808182            64.808182    Z7.TUNG..HHZ           887.0        0.0
           50.797241            50.797241    BE.UCC..HHZ            -7.0      107.0
           72.782898            72.782898    KP.UPNV..BHZ            38.0        0.0
           64.820328            64.820328    Z7.URDU..HHZ          1002.0        0.0
           65.036049            65.036049    4F.UTYR..BHZ           623.0        0.0
           64.994873            64.994873    4F.VADA..BHZ           673.0        0.0
             51.9394              51.9394    EI.VAL..BHZ            14.0        0.0
            65.38205             65.38205    4F.VEGG..BHZ           507.0        0.0
           65.084457            65.084457    Z7.VIFE..HHZ           696.0        0.0
           66.078117            66.078117    YY.VIKI..BHZ            58.0        0.0
           65.060127            65.060127    Z7.VIKS..HHZ           641.0        0.0
            64.67131             64.67131    4F.VONA..HHZ           949.0        0.0
           64.673149            64.673149    Z7.VONK..HHZ          1011.0        0.0
           64.673576            64.673576    Z7.VONS..HHZ          1026.0        0.0
            66.03643             66.03643    YY.VVAT..HHZ           132.0        0.0
           52.724602            52.724602    GB.WACR..BHZ            66.0        0.0
           69.124496            69.124496    X3.WIND..HHZ           315.9        0.0
           53.289398            53.289398    GB.WLF1..BHZ            66.0        0.0
           47.88                 -10.99                                ALLOD                 -3886.48    3886.48         
           49.85                -12.03                                 BRIAN                -3938.60    3938.60    
           50.9                 -12.9                                  EVE               -2160.90    2160.90     
           51.1                 -10.1                                  TOM               -1369.53    1369.53     
           51.9                 -11.25                                 GILL               -1062.41    1062.41     
           54.47                -13.21                                 GRAIN               -2752.14    2752.14           
           55.42                -11.43                                 QUAKY               -2849.98    2849.98     
           56.01                -9.98                                  LOCH               -2078.71    2078.71     
           57.9                 -11.9                                  HARRY               -1791.88    1791.88           
           58.8                 -14.5                                  CHARL               -1127.03    1127.03           
           61.45                -15.33                                 DUDE               -2375.30    2375.30     
           61.5                 -21.95                                 NAMOR               -1796.84    1796.84           
           59.52                -19.6                                  LUIGI               -2811.26    2811.26           
           58.94                -22.13                                 LIGEA               -2672.95    2672.95           
           56.34                -24.49                                 WILSN               -3061.01    3061.01           
           57.02                -17.49                                 NEMO                -1254.71    1254.71     
           54.13               	 -18.16                                SEBAS                -1311.70    1311.70          
           52.48                -16.87                                 MAUDE               -3808.59    3808.59           
